Image,Region,L1,L2,Cosine,SSIM
0001.png,Foreground,6.7699976,0.65164196,0.22854166,0.45204377
0001.png,Background,4.411116,0.4125,0.08101965,0.111270815
0002.png,Foreground,7.62843,0.70981574,0.28334975,0.7337769
0002.png,Background,4.4014163,0.40927354,0.090797305,0.16262037
0003.png,Foreground,8.305219,0.7744597,0.32603717,0.8152174
0003.png,Background,5.099713,0.4747316,0.12061986,0.31643847
0004.png,Foreground,6.1704125,0.579034,0.15784514,0.44343412
0004.png,Background,4.52772,0.42448378,0.07710957,0.17809832
0005.png,Foreground,8.25887,0.7685699,0.3851443,0.8783604
0005.png,Background,5.18292,0.48186827,0.14038794,0.34993255
0006.png,Foreground,7.3700576,0.69683266,0.23781848,0.8147361
0006.png,Background,5.0099053,0.46754155,0.11497297,0.44538188
0007.png,Foreground,8.180803,0.75452304,0.363752,0.8583081
0007.png,Background,5.2060814,0.48824766,0.122185685,0.28488997
0008.png,Foreground,8.1240225,0.7652241,0.33906192,0.6694591
0008.png,Background,4.057446,0.38335872,0.06100321,0.08435554
0009.png,Foreground,6.58136,0.6214644,0.19707866,0.44803774
0009.png,Background,4.85498,0.4517442,0.10859933,0.37948346
0010.png,Foreground,6.6327376,0.6269226,0.20669939,0.54050773
0010.png,Background,4.2729077,0.39849377,0.076403886,0.26211715
0011.png,Foreground,8.271297,0.77068734,0.35717028,0.87245464
0011.png,Background,5.4423523,0.5074673,0.13739802,0.4928652
0012.png,Foreground,8.396524,0.7931358,0.3160561,0.755478
0012.png,Background,4.9780693,0.4629623,0.10789001,0.15956111
0013.png,Foreground,8.414011,0.77865636,0.376912,0.8091176
0013.png,Background,4.8239546,0.44756445,0.1088632,0.23665316
0014.png,Foreground,8.350391,0.7792398,0.36510056,0.8916522
0014.png,Background,5.1664057,0.48283908,0.131343,0.43229103
0015.png,Foreground,8.545094,0.79242086,0.3745463,0.8599178
0015.png,Background,5.064738,0.4712561,0.12433029,0.22553885
0016.png,Foreground,7.4728537,0.70528924,0.2669007,0.6658964
0016.png,Background,4.6058383,0.43098608,0.08694637,0.3234994
0017.png,Foreground,8.042957,0.75268,0.33702713,0.7292274
0017.png,Background,4.863151,0.45205006,0.12116089,0.25561544
0018.png,Foreground,7.3465176,0.6825284,0.28246814,0.72120196
0018.png,Background,4.8298173,0.44941482,0.11130681,0.37298617
0019.png,Foreground,7.8133802,0.7294301,0.27784258,0.6768273
0019.png,Background,4.8984694,0.45474565,0.10400169,0.24092098
0020.png,Foreground,7.394352,0.6876652,0.2265039,0.7404971
0020.png,Background,5.3055363,0.49411216,0.10872502,0.3157414
